---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                         C-831       C-439       C-697       C-468       C-583       C-260       C-161       C-333       C-724       C-960       C-342       C-396       C-951       C-551       C-798       C-971       C-116       C-688       C-986       C-625       C-440       C-901       C-262       C-338       C-563   
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Alcock, Frederica    |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     X     
Burnham, Carey       |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     -     
Canary, Miranda      |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     X     
Carter, Millicent    |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     -     
Castellano, Lilli    |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     -     
Cecere, Romelia      |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     -     
Chock, Velvet        |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     -     
Claar, Nelle         |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     X     
Clemons, Milagro     |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     X     
Cordoba, Cinthia     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     X     
Coryell, Bradford    |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     X     
Creviston, Neely     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     X     
Cribb, Leo           |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     X     
Deanda, Anastasia    |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     -     
Descoteaux, Brooke   |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     -     
Didonna, Evon        |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     X     |     X     |     -     
Dilullo, Cedrick     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     -     
Doetsch, Angelic     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     X     
Dollard, Chu         |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     -     
Dulaney, Toshiko     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     -     
Eckenrode, Gita      |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     X     
Eveland, Star        |     X     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     -     
Faler, Yahaira       |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     -     
Farkas, Sadie        |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     X     
Fennel, Taunya       |     X     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     X     
Flournoy, Neomi      |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     -     
Frisbee, Candie      |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     -     |     X     |     -     
Giorgi, Noella       |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     X     |     -     
Gist, Melba          |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     X     
Glasscock, Youlanda  |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     
Goulding, Antonio    |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     X     
Gourley, Eulalia     |     X     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     -     |     -     
Granderson, Tamatha  |     -     |     -     |     X     |     -     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     
Griswold, Josefina   |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     X     
Hartsell, Charlene   |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     X     
Hatt, Juliet         |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     X     
Hellmann, Trevor     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     -     
Holford, Georgia     |     X     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     X     
Holyfield, Eusebia   |     -     |     X     |     -     |     X     |     -     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     -     
Hulet, Ilana         |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     X     
Kees, Marielle       |     -     |     X     |     X     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     -     
Kind, Merideth       |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     X     
Lampron, Phylicia    |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     
Leech, Phung         |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     -     
Loan, Raymundo       |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     -     |     -     
Loveall, Saran       |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     -     |     X     |     -     |     X     |     X     
Masi, Pasty          |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     X     
Mcnaughton, Teisha   |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     X     
Minns, Loura         |     X     |     -     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     -     
Moad, Clarita        |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     X     
Mullinax, Ronald     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     X     
Murga, Lakia         |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     X     
Nagler, Marget       |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     -     
Navarre, Lea         |     -     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     -     
Nemeth, Denny        |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     X     
Niccum, Trent        |     -     |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     -     |     -     |     -     |     -     
Norfleet, Zelda      |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     -     
Odowd, Jaimee        |     -     |     -     |     -     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     -     
Oneill, Jordan       |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     X     
Ota, Emanuel         |     X     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     X     
Pemberton, Chrystal  |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     -     |     X     
Petz, Efren          |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     -     
Philyaw, Chi         |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     X     
Pruden, Marlo        |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     -     |     X     |     X     
Ranallo, Wayne       |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     -     |     -     |     -     
Reiter, Portia       |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     -     |     -     
Reynaga, Barrie      |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     -     |     X     |     X     
Rives, Helga         |     -     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     -     
Sandman, Terra       |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     
Sang, Chanell        |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     -     
Semmes, Jared        |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     -     
Senecal, Emil        |     X     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     X     
Shell, Tasha         |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     X     |     X     |     X     
Shewmake, Gertha     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     -     |     X     
Siebert, Dayle       |     -     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     -     
Smeltzer, Sandi      |     -     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     -     
Stankiewicz, Daniela |     X     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     X     
Suniga, Krystyna     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     -     
Tinney, Kimberely    |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     -     
Uribe, Floria        |     -     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     -     
Vandeventer, Brandon |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     -     |     X     |     X     
Vannorman, Delphia   |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     X     
Wand, Christel       |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     
Waterman, Jackie     |     X     |     -     |     X     |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     -     
Whitbeck, Hortencia  |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     -     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     -     |     X     
Wiegand, Eldridge    |     X     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     X     
Wildt, Camelia       |     -     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     X     |     X     |     X     |     -     |     -     |     X     |     -     |     -     |     X     |     -     |     X     |     X     
Winsett, Angelita    |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     -     
Wyckoff, Bart        |     -     |     X     |     -     |     X     |     X     |     X     |     X     |     -     |     X     |     X     |     X     |     -     |     X     |     -     |     -     |     -     |     X     |     X     |     -     |     -     |     X     |     X     |     X     |     -     |     X     
Zinck, Selma         |     -     |     -     |     -     |     -     |     X     |     -     |     -     |     -     |     -     |     -     |     -     |     X     |     X     |     X     |     -     |     X     |     X     |     -     |     -     |     -     |     X     |     X     |     X     |     X     |     X     
